name,url,username,password
google.com,https://accounts.google.com/signin/v2/identifier?service=mail&passive=1209600&osid=1&continue=,shawna.davis@gmail.com,DOibAsUU8OqNxPm
facebook.com,https://facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2F&ref=104&refsrc=deprecated&refid=8,lgoodwin@stanton.com,j=MbDSYXqpf9jN?^
yahoo.com,https://login.yahoo.com/manage_account?.lang=en-US&src=homepage&pspid=2023538075&activity=ybar-signin&signin=true&done=https%3A%2F%2Fwww.yahoo.com%2F%3Fguccounter%3D1&eid=100,ksenger@gorczany.com,q35BvL1ITQ
twitter.com,https://twitter.com/i/flow/login?input_flow_data=%7B%22requested_variant%22%3A%22eyJsYW5nIjoiZW4ifQ%3D%3D%22%7D,theprestigelegolas,gV4PYsqGzs
instagram.com,https://www.instagram.com/accounts/login/,belle08@daniel.org,6Va'6*z-+T
amazon.com,https://www.amazon.com/gp/sign-in.html,cassandra.labadie@hotmail.com,"Yks4{""+C$~,r"
netflix.com,https://www.netflix.com/Login,shawna.davis@gmail.com,Zheq9C43HTNa
discord.com,https://discord.com/login,5638643898,ajMcRm7LG2hT
linkedin.com,https://www.linkedin.com/login?fromSignIn=true&trk=guest_homepage-basic_nav-header-signin,georgianna.larkin@hotmail.com,$TrjsgG^8c!6
www.walmart.com,https://www.walmart.com/account/login?vid=oaoh&tid=0&returnUrl=%2F,bschulist@hilpert.com,sW66gpJDqft%dN^
www.tiktok.com,https://www.tiktok.com/,beforesunsetsincity,R5D@6Hwg4?CK
www.indeed.com,https://www.indeed.com/,orn.natalia@gmail.com,_-Q$dHW#K2EW6yppFf
www.microsoft.com,https://www.microsoft.com/en-us/,lew99@outlook.com,u3ELZCxzv
www.fedex.com,https://www.fedex.com/secure-login/en-us/#/login-credentials,ricky61@gmail.com,x64sxvmYABE6Q
quizlet.com,https://quizlet.com/,sunsetblvdmandolin,2me6qG4UtMqmC
www.chegg.com,https://www.chegg.com/auth?action=login,sschroeder@gmail.com,LvaxY9ULdSLpj3dy
www.icloud.com,https://www.icloud.com/,bernice.olson@wisoky.com,Xcu5Xxkb3LNC49
hulu.com,https://www.hulu.com/welcome,landen.parker@gmail.com,NxLHmj8GV?5STt
www.twitch.tv,https://www.twitch.tv/,twitchse7enplumsteak,hN278=heTg^rjS
aliexpress.com,https://login.aliexpress.com/,klein.georgette@hotmail.com,K8W75svCeTA32mVruf
192.168.100.1,http://192.168.100.1/,harrypottermelonbeat,LjuT8sBm
github.com,https://github.com/,kaycee19@gmail.com,h7fAgB*6D^DK@W
paypal.com,https://www.paypal.com/signin,joelw@gmail.com,NQu3&vR+8Q8zY-
booking.com,https://account.booking.com/register,msherr@gmail.com,e3BNzxa89bhTYR6XpvHW
"apple.com	",https://www.apple.com/,choset@icloud.com,52RjC4gs2pPpQ
dribbble.com,https://dribbble.com/,msherr@gmail.com,uTbBRmpkUk37Y6La
adobe.com,https://www.adobe.com/,sinclair@sbcglobal.net,ugr6Xc8mDawZJKEgzj98
pinterest.com,https://www.pinterest.com/,ccohen@outlook.com,TtbtQScjSfQxhXs7abnaRC
www.playstation.com,https://www.playstation.com/en-us/,mleary@hotmail.com,jDEue3cCYC5eYh
steampowered.com,https://store.steampowered.com/login/?redir=&redir_ssl=1&snr=1_4_4__global-header,dsowsy@live.com,V623B3JwZbsY
